55,85,150,180,390,420,610,640
0,30,70,100,110,140,180,210
0,30,60,90,100,130,155,185
0,30,85,115,130,160,325,355
40,70,125,155,300,330,345,375
35,65,85,115,125,155,170,200
150,180,215,245,255,285,305,335
35,65,125,155,200,230,240,270
15,45,60,90,155,185,200,230
25,55,90,120,125,155,165,195
20,50,60,90,125,155,180,210
55,85,115,145,232,262,350,380
230,250,360,390,560,590,640,670
40,70,80,110,145,175,200,230
0,30,60,90,130,160,160,190
60,90,145,175,205,235,235,265
60,90,90,120,120,150,150,180
0,30,30,60,60,90,90,120
0,30,30,60,60,90,90,120
0,30,60,90,90,120,150,180
0,30,30,60,60,90,120,150
0,30,110,140,205,235,235,265
0,30,30,60,60,90,90,120
50,80,175,205,205,235,235,265
5,35,35,65,65,95,95,125
0,30,30,60,60,90,90,120
0,30,50,80,80,110,110,140
0,30,50,80,80,110,110,140
0,30,30,60,60,90,90,120
0,30,130,160,190,220,240,270
0,30,30,60,70,100,120,150
5,35,55,85,85,115,120,150
0,30,30,60,60,90,90,120
0,30,30,60,60,90,90,120
0,30,75,105,150,180,180,210
0,30,35,65,65,95,130,160
0,30,30,60,60,90,90,120
0,30,70,100,125,155,155,185
0,30,30,60,80,110,110,140
0,30,30,60,60,90,90,120
90,120,120,150,150,180,180,210
50,80,120,150,150,180,180,210
0,30,30,60,60,90,90,120
0,30,30,60,60,90,90,120
50,80,80,110,150,180,180,210
5,35,60,90,95,125,145,175
10,40,50,80,85,115,125,155
0,30,100,130,135,165,180,210
130,170,210,240,300,330,360,390
40,70,80,110,150,180,183,213
25,55,70,100,105,135,150,180
0,30,60,90,95,125,135,165
20,50,55,85,90,120,125,155
30,60,62,92,110,140,150,180
0,30,70,100,110,140,145,175
0,30,60,90,100,130,145,175
0,30,40,70,75,105,115,145
20,50,56,86,90,120,125,155
10,40,45,75,81,111,120,150
40,70,75,105,140,170,170,200
30,60,120,150,160,190,220,250
0,30,70,100,120,150,175,205
0,30,30,60,90,120,120,150
0,30,30,60,60,90,110,140
0,30,75,105,105,135,135,165
0,30,35,65,65,95,95,125
0,30,30,60,60,90,90,120
0,30,30,60,70,100,120,150
0,30,80,110,160,190,190,220
0,30,30,60,60,90,90,120
70,100,100,130,130,160,160,190
0,30,65,95,95,125,125,155
0,30,30,60,60,90,90,120
15,45,45,75,75,105,105,135
0,30,30,60,60,90,90,120
